Country,AQ,CSEQ,CSTORE,REC,WQ,WA,LIVE,CROP,Dev,avg_gini9505,avg_gini8595,Data.Quality,HDI,Per.Capita.GDP,Region,Income.Group,gini_change,Approximate.year_90,Survey.year_90,Survey.type_90,Palma.ratio_90,Share.of.richest.10._90,Share.of.poorest.40._90,Share.of..middle..50._90,Gini.index_90,Approximate.year_2012,Survey.year_2012,Survey.type_2012,Palma.ratio_2012,Share.of.richest.10._2012,Share.of.poorest.40._2012,Share.of..middle..50._2012,Gini.index_2012,palma_change,total_EF9505,crop_EF9505,grazing_EF9505,forest_EF9505,fishing_EF9505,carbon_EF9505,total_EF8595,crop_EF8595,grazing_EF8595,forest_EF8595,fishing_EF8595,carbon_EF8595,total_EF0515,crop_EF0515,grazing_EF0515,forest_EF0515,fishing_EF0515,carbon_EF0515,EFExportsPerCap_total_EF9505,EFExportsPerCap_crop_EF9505,EFExportsPerCap_grazing_EF9505,EFExportsPerCap_forest_EF9505,EFExportsPerCap_fishing_EF9505,EFExportsPerCap_carbon_EF9505,EFImportsPerCap_total_EF9505,EFImportsPerCap_crop_EF9505,EFImportsPerCap_grazing_EF9505,EFImportsPerCap_forest_EF9505,EFImportsPerCap_fishing_EF9505,EFImportsPerCap_carbon_EF9505,EFExportsPerCap_total_EF8595,EFExportsPerCap_crop_EF8595,EFExportsPerCap_grazing_EF8595,EFExportsPerCap_forest_EF8595,EFExportsPerCap_fishing_EF8595,EFExportsPerCap_carbon_EF8595,EFImportsPerCap_total_EF8595,EFImportsPerCap_crop_EF8595,EFImportsPerCap_grazing_EF8595,EFImportsPerCap_forest_EF8595,EFImportsPerCap_fishing_EF8595,EFImportsPerCap_carbon_EF8595,EFExportsPerCap_total_EF0515,EFExportsPerCap_crop_EF0515,EFExportsPerCap_grazing_EF0515,EFExportsPerCap_forest_EF0515,EFExportsPerCap_fishing_EF0515,EFExportsPerCap_carbon_EF0515,EFImportsPerCap_total_EF0515,EFImportsPerCap_crop_EF0515,EFImportsPerCap_grazing_EF0515,EFImportsPerCap_forest_EF0515,EFImportsPerCap_fishing_EF0515,EFImportsPerCap_carbon_EF0515,EF_change05.95,EF_change95.85,EF_cropchange05.95,EF_cropchange95.85,EF_grazingchange05.95,EF_grazingchange95.85,EF_forestchange05.95,EF_forestchange95.85,EF_fishingchange05.95,EF_fishingchange95.85,EF_carbonchange05.95,EF_carbonchange95.85,ImpExp_EFratio0515,ImpExp_EFratio8595,ImpExp_EFratio9505
Bulgaria,0.0126771,9.73365,104.691,20.4245,0.00403249,73.5571,5.69666,6.423337,Rest of World,27.83129565,22.27949206,5,0.778056,7615.28,EU-27,UM,5.551803593,1990,1989,C,0.795156808,20.03,25.19,54.77,23.43,2012,2012,I,1.491285403,27.38,18.36,54.26,36.01,0.696128595,1.006552735,0.216324649,0.067411301,0.093779068,0.012691808,0.61634591,0.634966947,0.193531833,0.03547724,0.047081825,0.015720578,0.343155472,1.976743312,0.511096101,0.103118042,0.198595693,0.022823852,1.141109624,1.147833918,0.294010364,0.019263851,0.119856727,0.004971596,0.709731379,0.865271552,0.138638933,0.11555875,0.067701408,0.020412019,0.522960442,0.722826249,0.213918488,0.020362227,0.027907611,0.021593308,0.439044614,0.547107645,0.173145178,0.050592252,0.066256038,0.009847848,0.24726633,2.240115584,0.78588766,0.038739847,0.225696216,0.009510706,1.180281155,1.713371039,0.236304541,0.167496237,0.171495169,0.036136998,1.101938094,0.970190577,0.371585788,0.294771452,0.022792816,0.035706741,0.031934061,0.104816625,0.046697243,0.010132044,-0.00302877,0.524763714,0.273190438,0.764858319,0.756900632,0.753829921
Burkina Faso,0.00255482,-345.671,69.9819,14.2443,0.0074653,66.3651,20.4781,1.543207,Least Developed,46.81053422,43.38142956,5,0.392513,671.065,Africa,LI,3.42910466,1990,1994.25,C,2.779577465,39.47,14.2,46.35,48.07,2012,2009,C,1.843013226,32.05,17.39,50.57,39.76,-0.936564239,0.085166308,0.037081566,0.018884131,0.001433891,0.002899048,0.024867677,0.06424167,0.024456371,0.016249492,0.00089305,0.002261072,0.020381686,0.103695152,0.0445852,0.005485953,0.001286791,0.010149027,0.042188185,0.085927407,0.038796812,0.036209914,0.000123585,3.24E-05,0.010764657,0.08440521,0.035366321,0.001558347,0.002744197,0.005765648,0.038970696,0.059130145,0.021282518,0.029591021,2.21E-08,1.07E-06,0.008255519,0.069353195,0.027630223,0.002907963,0.001786078,0.004521079,0.032507853,0.081555541,0.056472101,0.009488689,0.000255395,0.001094865,0.014244496,0.125834764,0.032698298,0.001483216,0.002318188,0.019203188,0.070131873,0.018528844,0.020924638,0.007503633,0.012625196,-0.013398178,0.002634639,-0.0001471,0.000540841,0.007249979,0.000637975,0.017320508,0.004485991,1.542933341,1.172890673,0.98228508
Burundi,0.00570319,29.7026,198.963,14.2985,0.0484618,310.181,11.2695,9.44544,Least Developed,36.01262104,34.12340743,4,0.394528,276.688,Africa,LI,1.889213616,1990,1992,C,1.327009486,26.58,20.03,53.4,33.33,2012,2006,C,1.341486811,27.97,20.85,51.19,33.36,0.014477325,0.020497934,0.012307757,0.000195485,0.000461731,4.84E-05,0.007484567,0.02973657,0.017792787,0.000319167,0.000368357,0.000116367,0.01113989,0.029804073,0.013028534,0.000965934,0.000846179,0.000197405,0.014766017,0.016184333,0.013500525,0.000124392,0.000233971,3.78E-06,0.002321667,0.024811536,0.011114988,0.000266578,0.000689491,9.30E-05,0.012647467,0.029681721,0.026189983,0.000176008,1.78E-05,5.17E-06,0.003292716,0.029791419,0.009395591,0.000462325,0.000718874,0.000227564,0.018987064,0.013452873,0.008825463,0.001206094,0.000374152,1.27E-06,0.003045886,0.046155274,0.017231604,0.000725775,0.001318207,0.000393536,0.026486148,0.009306139,-0.009238636,0.000720777,-0.005485031,0.000770449,-0.000123682,0.000384448,9.34E-05,0.000149012,-6.80E-05,0.00728145,-0.003655323,3.430886042,1.003695817,1.533058891
Canada,0.00136613,-55.8055,188.914,12.495,0.000489483,2.61297,0.86114,0.894337,Most Developed,31.0453777,27.94836155,5,0.910431,52145.4,North America,HI,3.097016151,1990,1991,I,1.142995169,23.66,20.7,55.65,31.15,2012,2010,I,1.32067727,25.74,19.49,54.77,33.68,0.177682101,6.20430419,1.071818766,0.166995886,2.105329726,0.120226467,2.739933345,4.715909945,0.918528767,0.121483868,1.662265068,0.147926085,1.865706157,5.990472921,1.26351004,0.143800595,1.513871124,0.116375325,2.952915837,8.883526069,1.74681616,0.171559357,3.686832463,0.138128551,3.140189537,3.525082311,0.396821373,0.162432414,0.52382699,0.102324382,2.339677152,7.250183581,1.5840397,0.095859874,3.029346099,0.243387897,2.297550011,2.181636309,0.253017835,0.147107863,0.295184037,0.052464272,1.433862303,8.116790075,2.109362902,0.150053443,2.575550041,0.133831339,3.14799235,3.864155767,0.417657178,0.137547746,0.452192208,0.09891931,2.757839325,-0.213831269,1.488394245,0.191691273,0.153289999,-0.023195291,0.045512018,-0.591458602,0.443064659,-0.003851142,-0.027699618,0.212982493,0.874227188,0.476069448,0.300907733,0.396811163
Central African Republic,0.00382954,-243.747,183.344,14.8178,0.00384453,12.1799,3.82706,0.03360305,Least Developed,45.88956085,52.32281469,6,0.372625,495.035,Africa,LI,-6.433253841,1990,1992.43,C,6.897398844,47.73,6.92,45.33,61.33,2012,2008,C,4.478682171,46.22,10.32,43.46,56.24,-2.418716673,0.077624672,0.014499753,0.019208648,0.019070881,0.000786715,0.024058669,0.092168212,0.027897233,0.033588263,0.010202132,0.000985869,0.019494711,0.081519822,0.011158978,0.013582387,0.014394412,0.003056434,0.039327612,0.095482791,0.013698851,0.031761163,0.037728295,1.80E-06,0.012292676,0.059766553,0.015300655,0.006656133,0.000413468,0.001571627,0.035824663,0.104205205,0.025425821,0.046173332,0.020200952,2.93E-07,0.012404807,0.080131219,0.030368644,0.021003195,0.000203313,0.001971446,0.026584615,0.071975139,0.004381399,0.024575825,0.028163155,0,0.01485476,0.091064506,0.017936556,0.00258895,0.000625669,0.006112867,0.063800464,0.00389515,-0.01454354,-0.003340775,-0.01339748,-0.005626261,-0.014379615,-0.004676469,0.008868749,0.002269719,-0.000199154,0.015268942,0.004563958,1.26522168,0.768975202,0.625940576
Chile,0.0047181,71.2859,182.882,17.4745,0.00389544,26.3776,4.03065,0.1121266,Rest of World,50.85162898,50.38551713,6,0.826742,14525.8,Latin America,UM,0.466111851,1990,1990,I,4.742943548,47.05,9.92,43.03,57.25,2012,2013,I,3.209752322,41.47,12.92,45.6,50.45,-1.533191226,1.487981225,0.184480349,0.078897261,0.357779822,0.169037082,0.697786711,0.859678922,0.085729314,0.030063657,0.226513658,0.155644685,0.361727608,2.128995552,0.289987034,0.08899233,0.557661896,0.172881599,1.019472693,1.92489375,0.124009298,0.025053516,0.652208324,0.306440113,0.817182499,1.0510687,0.2449514,0.132741006,0.063351319,0.031634052,0.578390923,1.290527048,0.072567056,0.027341281,0.430653717,0.304885825,0.455079169,0.428830797,0.098891573,0.032786033,0.022373598,0.006403545,0.268376047,2.509617174,0.212213598,0.033368506,1.014906213,0.285191671,0.963937185,1.748373929,0.367760469,0.144616155,0.10041758,0.060571526,1.0750082,0.641014326,0.628302303,0.105506684,0.098751035,0.010095069,0.048833604,0.199882075,0.131266164,0.003844516,0.013392397,0.321685982,0.336059103,0.696669574,0.332291212,0.546039853
China,0.0109831,-88.8894,78.7324,13.3317,0.0153077,184.648,15.1999,3.868439,Rest of World,44.4225195,35.6232819,6,0.718034,5560.94,Asia-Pacific,UM,8.799237597,1990,1990,C,1.251609708,25.27,20.19,54.54,32.43,2012,2010,C,2.080499653,29.98,14.41,55.62,42.06,0.828889945,0.221759233,0.02873549,0.011946663,0.028815527,0.012754044,0.13950751,0.113042629,0.023276711,0.011203557,0.012805102,0.00660836,0.0591489,0.416326084,0.049935477,0.015344343,0.042725414,0.020806239,0.287514611,0.16944672,0.016687917,0.004787714,0.009187674,0.011133728,0.127649685,0.274071746,0.040783063,0.019105612,0.048443379,0.014374359,0.151365334,0.082326504,0.017132573,0.006334419,0.004707392,0.005154507,0.048997613,0.143758755,0.02942085,0.016072694,0.020902811,0.008062213,0.069300186,0.366134237,0.018455091,0.004388938,0.017877418,0.01884655,0.306566239,0.466517931,0.081415863,0.026299748,0.067573411,0.022765929,0.268462982,0.194566851,0.108716603,0.021199987,0.005458779,0.00339768,0.000743106,0.013909888,0.016010425,0.008052196,0.006145683,0.148007101,0.08035861,1.274171831,1.74620259,1.617450879
Colombia,0.00750891,11.1293,288.715,12.9737,0.00510692,41.982,14.8886,0.1014252,Rest of World,51.33366225,50.17905083,6,0.715045,7305.22,Latin America,UM,1.154611423,1990,1992,I,3.464041096,40.46,11.68,47.87,51.45,2012,2012,I,3.968809074,41.99,10.58,47.45,53.54,0.504767978,0.301122334,0.097873382,0.007456936,0.023598523,0.015384559,0.156808935,0.215045726,0.079641846,0.008624045,0.012266605,0.011987047,0.102526184,0.381695525,0.109390011,0.021539901,0.02843572,0.017032754,0.205297139,0.229197283,0.075673103,0.01057314,0.009746365,0.014538733,0.118665942,0.373047385,0.120073661,0.004340732,0.03745068,0.016230384,0.194951928,0.18062119,0.101183444,0.009349507,0.002341726,0.008979558,0.058766955,0.249470263,0.058100247,0.007898582,0.022191484,0.014994536,0.146285413,0.274591966,0.062662886,0.040758718,0.011916629,0.015121391,0.144132343,0.488799083,0.156117136,0.002321084,0.044954811,0.018944117,0.266461935,0.08057319,0.086076608,0.011516629,0.018231536,0.014082965,-0.001167109,0.004837198,0.011331918,0.001648195,0.003397511,0.048488204,0.054282751,1.78009244,1.381179377,1.627625687
Costa Rica,0.015729,145.187,339.171,15.2635,0.0135326,90.8393,14.694,0.480439,Rest of World,43.90125647,41.16785942,5,0.760762,8979.96,Latin America,UM,2.733397041,1990,1990,I,2.488687783,33,13.26,53.73,45.3,2012,2012,I,2.945151033,37.05,12.58,50.38,48.61,0.45646325,1.249679251,0.311627801,0.072182312,0.117957913,0.066485069,0.681426157,0.834010261,0.2222821,0.160026487,0.0792966,0.043077371,0.329327704,1.381626591,0.344829385,0.074605174,0.151547679,0.046301343,0.76434301,0.934364929,0.351277378,0.129809879,0.01870532,0.089417299,0.345155053,1.564993573,0.271978223,0.014554745,0.217210506,0.043552839,1.017697261,0.828743452,0.299458955,0.306497055,0.012753515,0.036106591,0.173927335,0.83927707,0.145105245,0.013555918,0.145839684,0.05004815,0.484728072,0.942794796,0.362349477,0.122970329,0.037677793,0.051003625,0.368793571,1.820458387,0.327309292,0.02624002,0.265417564,0.041599062,1.159892449,0.13194734,0.41566899,0.033201584,0.0893457,0.002422862,-0.087844175,0.033589766,0.038661313,-0.020183725,0.023407698,0.082916853,0.352098453,1.930916882,1.012710348,1.674927563
Croatia,0.0138203,97.3833,82.4005,19.5676,0.00724198,51.8105,10.1998,1.641482,Rest of World,28.2486161,29.3629636,6,0.816563,14522.8,Other Europe,HI,-1.114347496,1990,1988,I,0.764613574,19.49,25.49,55.03,22.78,2012,2011,I,1.190428212,23.63,19.85,56.52,31.98,0.425814638,1.512516246,0.168020538,0.04847554,0.231111519,0.048509778,1.016398871,1.044688977,0.133467385,0.057202489,0.1274357,0.034189455,0.692393948,2.287985384,0.274622442,0.063485729,0.304729843,0.055046423,1.590100947,1.218255796,0.114734008,0.007521966,0.23480638,0.028678234,0.832515209,1.806776696,0.221307068,0.089429114,0.227416658,0.068341323,1.200282534,1.053579972,0.1156968,0.024606683,0.167964619,0.034056768,0.711255103,1.035797983,0.151237969,0.089798296,0.086906782,0.034322142,0.673532794,1.882327667,0.225742604,0.009031832,0.33583973,0.03523872,1.276474782,2.693643102,0.323502281,0.117939626,0.273619956,0.074854127,1.903727113,0.775469138,0.467827269,0.106601904,0.034553153,0.015010189,-0.008726949,0.073618324,0.103675819,0.006536645,0.014320323,0.573702076,0.324004923,1.431017112,0.983122317,1.483084835
